	pubchem_id	SuperSweetDB_ID	BitterDB_ID	FoodDB_ID	FlavorNet_ID	FlavorDB_ID	Natural	Unknown_Natural	Synthetic
109	439368			FDB029751	1	0	0	0	0
110	447916	30627				0	0	0	1
111	59154466	20052				0	0	0	1
112	222156		466			0	0	0	0
113	16112225	4412				0	0	0	0
114	23237624	8193				0	0	0	0
115	54604595	30995				0	0	0	1
116	123071	25343				0	0	0	1
117	69461488	24998				0	0	0	1
118	12255414		796	FDB011631		1	0	0	0
119	92221438	20152				0	0	0	1
120	44258397	28814				0	0	0	1
121	25112512	28466				0	0	0	1
122	8857			FDB003240	1	1	1	0	0
123	1715056			FDB010901		0	1	1	0
124	5362580			FDB011620		1	1	1	0
125	5462814			FDB000784		0	0	0	0
126	42311552	9327				0	0	0	0
127	90472751	23310				0	0	0	1
128	437600	9423				0	0	0	0
129	5987			FDB013393		0	0	0	0
130	63013		536			0	0	0	0
131	6453618	30724				0	0	0	1
132	101143223	29995				0	0	0	1
133	18251840	5146				0	0	0	0
134	3310091	25876				0	0	0	1
135	11051630	3343				0	0	0	0
136	18660334	5780				0	0	0	0
137	25245946	8720				0	0	0	0
138	97546477	33591				0	0	0	1
139	99933012	21811				0	0	0	1
140	44259413	28981				0	0	0	1
141	21584060	7062				0	0	0	0
142	22652213	7645				0	0	0	0
143	121450929	22519				0	0	0	1
144	9852109	27994				0	0	0	1
145	18237799	4893				0	0	0	0
146	23681163	32146				0	0	0	1
147	92221125	33458				0	0	0	1
148	90339325	24009				0	0	0	1
149	10180447	2815				0	0	0	0
150	87634412	33009				0	0	0	1
151	68112028	23826				0	0	0	1
152	1549521					1	1	0	0
153	11517			FDB029730	1	0	0	0	0
154	6427787			FDB004534	1	0	1	0	0
155	66553816	30489				0	0	0	1
156	10962772	3263				0	0	0	0
157	58667513	31312				0	0	0	1
158	89797755	23988				0	0	0	1
159	74763852	26758				0	0	0	1
160	42607570	28534				0	0	0	1
161	58226499	23588				0	0	0	1
162	101604035	26980				0	0	0	1
163	16066600	4381				0	0	0	0
164	44598206	32348				0	0	0	1
165	61407			FDB016959		1	0	0	0
166	10748745	26184				0	0	0	1
167	2724705	8880				0	0	0	0
168	24858939	8554				0	0	0	0
169	70249982	23144				0	0	0	1
170	20050913	6494				0	0	0	0
171	46173102	32366				0	0	0	1
172	92008197	22734				0	0	0	1
173	102121822	30222				0	0	0	1
174	44259669	29050				0	0	0	1
175	16758093	4564				0	0	0	0
176	101931961	24546				0	0	0	1
177	87090105	22698				0	0	0	1
178	12762300			FDB009273		1	0	0	0
179	24778179	8463				0	0	0	0
180	59722278	23613				0	0	0	1
181	448294	9860				0	0	0	0
182	1032			FDB008285	1	1	1	0	0
183	22703316	7801				0	0	0	0
184	71094775	21155				0	0	0	1
185	46942257	22657				0	0	0	1
186	101188265	26910				0	0	0	1
187	86269500	22300				0	0	0	1
188	61918			FDB000499		1	1	0	0
189	3766542	9164				0	0	0	0
190	23364311	8261				0	0	0	0
191	56666128	30869				0	0	0	1
192	18251920	5173				0	0	0	0
193	90983566	25288				0	0	0	1
194	10517733	2976				0	0	0	0
195	4474425	9840				0	0	0	0
196	101420606	33664				0	0	0	1
197	71264322	26717				0	0	0	1
198	12903171	3930				0	0	0	0
199	44257346	28616				0	0	0	1
200	51777337	23003				0	0	0	1
201	10819104	25701				0	0	0	1
202	58700677	23599				0	0	0	1
203	66629909	23032				0	0	0	1
204	69013072	32732				0	0	0	1
205	100929562	29950				0	0	0	1
206	5363289					1	0	0	0
207	5321093	25908				0	0	0	1
208	100090580	29896				0	0	0	1
209	100938763	25211				0	0	0	1
210	4594		680			0	0	0	0
211	18296641	5271				0	0	0	0
212	11949689			FDB019895		1	0	0	0
213	15571			FDB019298		1	0	0	0
214	102009592	33700				0	0	0	1
215	10488210	2962				0	0	0	0
216	5255640	10039				0	0	0	0
217	61051					1	1	1	0
218	89411813	26815				0	0	0	1
219	26437432	8812				0	0	0	0
220	118133312	23481				0	0	0	1
221	95223129	29663				0	0	0	1
222	121372594	25109				0	0	0	1
223	101623277	24515				0	0	0	1
224	10154200	2790				0	0	0	0
225	15949633	4329				0	0	0	0
226	118362299	24622				0	0	0	1
227	42580143	9355				0	0	0	0
228	22656283	7717				0	0	0	0
229	11462690	3557				0	0	0	0
230	12315387	3869				0	0	0	0
231	92021224	33257				0	0	0	1
232	5288425	10086				0	0	0	0
233	6857367	10333				0	0	0	0
234	20472106	6640				0	0	0	0
235	73356911	27619				0	0	0	1
236	91392448	20614				0	0	0	1
237	97054511	24395				0	0	0	1
238	22308819	7542				0	0	0	0
239	22911073	8105				0	0	0	0
240	44396372	32345				0	0	0	1
241	125280	3881				0	0	0	0
242	91820153	27429				0	0	0	1
243	117956699	24608				0	0	0	1
244	88626605	24898				0	0	0	1
245	11176		775	FDB008751		1	1	0	0
246	21590187	7075				0	0	0	0
247	448325	9863				0	0	0	0
248	11009821	3305				0	0	0	0
249	101181250	24461				0	0	0	1
250	69112753	29323				0	0	0	1
251	101623520	33671				0	0	0	1
252	101606119	26985				0	0	0	1
253	68397264	20990				0	0	0	1
254	102153794	30306				0	0	0	1
255	46873973	30953				0	0	0	1
256	18486215	5528				0	0	0	0
257	87459969	32987				0	0	0	1
258	92223618	24328				0	0	0	1
259	44187475	9560				0	0	0	0
260	18479573	5471				0	0	0	0
261	23574384	8314				0	0	0	0
262	102438528	27243				0	0	0	1
263	20005564	6343				0	0	0	0
264	23683747		122			0	0	0	1
265	13093776	27550				0	0	0	1
266	71744240	32856				0	0	0	1
267	7146			FDB008265		1	1	0	0
268	23412757	30851				0	0	0	1
269	102146326	30251				0	0	0	1
270	7742			FDB008341	1	1	1	0	0
271	71589677	26746				0	0	0	1
272	11705033	28147				0	0	0	1
