entity_id,category,category_readable,entity_alias,entity_alias_basket,entity_alias_readable,entity_alias_synonyms,entity_alias_url,natural_source_name,natural_source_url
462,fruit-berry,Berry,,,Canada blueberry,"Common blueberry, Velvetleaf huckleberry, Velvetleaf blueberry, Sourtop blueberry.",https://en.wikipedia.org/wiki/Vaccinium_myrtilloides,Vaccinium,https://en.wikipedia.org/wiki/Vaccinium
463,fruit,Fruit,,,Buffalo currant,"Golden currant, Clove currant, Pruterberry, Buffalo currant,",https://en.wikipedia.org/wiki/Buffalo_currant,Ribes,https://en.wikipedia.org/wiki/Ribes
464,fruit-berry,Berry,,,Deerberry,"Deerberry, Tall deerberry, Squaw huckleberry, Highbush huckleberry, Buckberry, Southern gooseberry",https://en.wikipedia.org/wiki/Vaccinium_stamineum,Vaccinium,https://en.wikipedia.org/wiki/Vaccinium
465,vegetable-root,Vegetable Root,,,Ginseng,Ginseng,https://en.wikipedia.org/wiki/Ginseng,Panax,https://en.wikipedia.org/wiki/Panax
466,plant,Plant,,,Longan,Longan,https://en.wikipedia.org/wiki/Longan,Dimocarpus,https://en.wikipedia.org/wiki/Dimocarpus
467,Vegetable,Vegetable,,,Pepper C. baccatum,Capsicum baccatum,https://en.wikipedia.org/wiki/Capsicum_baccatum,Capsicum Baccatum,https://en.wikipedia.org/wiki/Capsicum_baccatum
468,Vegetable,Vegetable,,,Pepper C. chinense,Capsicum chinese,https://en.wikipedia.org/wiki/Capsicum_chinense,Capsicum chinense,https://en.wikipedia.org/wiki/Capsicum_chinense
469,fruit,Fruit,,,Rambutan,Rambutan,https://en.wikipedia.org/wiki/Rambutan,Nephelium,https://en.wikipedia.org/wiki/Nephelium
470,cerealcrop-cereal,Cereal,,,Red rice,"Brownbeard rice, Wild rice, Red rice",https://en.wikipedia.org/wiki/Oryza_rufipogon,Oryza,https://en.wikipedia.org/wiki/Oryza
471,cerealcrop-cereal,Cereal,,,Annual wild rice," Canada rice, Indian rice, Water oats",https://en.wikipedia.org/wiki/Zizania_aquatica,Zizania,https://en.wikipedia.org/wiki/Poaceae
472,vegetable,Vegetable,,,Welsh onion,"Bunching onion, Long green onion, Japanese bunching onion, Scallion, Spring onion, Welsh onion",https://en.wikipedia.org/wiki/Welsh_onion,Allium fistulosum,https://en.wikipedia.org/wiki/Allium_fistulosum
